id,title,author,editor,year,price,category
150,Histoire de la psychanalyse  1925-1985 Tome 2,ROUDINESCO Élisabeth,Seuil,1986,,0
151,Dictionnaire de la psychanalyse,ROUDINESCO Élisabeth/PLON Michel,Fayard,1997,,0
152,"Couché par écrit, de la situation psychanalytique",ROUSSEAU-DUJARDIN Jacqueline,Galilée,1980,,0
153,"Couché par écrit, de la situation psychanalytique",ROUSSEAU-DUJARDIN Jacqueline,Galilée,1981,,0
154,"La psychanalyse, science, thérapie – et cause",SAFOUAN Moustapha,Thierry Marchaisse,2013,,0
155,Introduction à l’œuvre de Mélanie Klein,SEGAL Hanna,PUF,1980,,0
156,Le peuple « psy »,SIBONY Daniel,Situation,1993,,0
157,"La psychanalyse, 4. Les psychoses",Société française de psychanalyse,PUF,1958,,0
158,De la naissance à la parole,Spitz A.René,PUF,1968,,0
159,"le non et le oui, la genèse de la communication humaine",SPITZ René A.,PUF,1962,,0
160,L’enfant imaginaire,STEIN Conrad,Denoël,1972,,0
161,Bouddhisme zen et psychanalyse,SUZUKI D. T./FROMM Erich/DE MARTINO Richard,PUF,1971,,0
162,Une école pour Œdipe,TERRIER Gilbert/BIGEAULT Jean-Pierre,Privat,1975,,0
163,Autisme et psychose de l’enfant,TUSTIN Frances,Seuil,1977,,0
164,Le temps du désir,VASSE Denis,Seuil,1969,,0
165,La construction de l’espace analytique,VIDERMAN Serge,Denoël,1970,,0
166,Freud et le problème du changement,WIDLÖCHER Daniel,PUF,1979,,0
167,Conversations ordinaires,WINNICOTT Donald W.,Gallimard,1986,,0
168,Jeu et réalité,WINNICOTT Donald W.,Gallimard,1971,,0
169,Jeu et réalité,WINNICOTT Donald W.,NRF Gallimard,1975,,0
170,La consultation thérapeutique et l’enfant,WINNICOTT Donald W.,NRF Gallimard,1976,,0
171,Fragment d’une analyse,WINNICOTT Donald W.,Payot,1975,,0
172,De la pédiatrie à la psychanalyse,WINNICOTT Donald W.,Payot,1971,,0
173,Le schizo et les langues,WOLFSON Louis,NRF Gallimard,1982,,0
